cement,slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.9861111111111
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.88736599999999
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.269535244
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.052780437999996
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.296075095999994
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.02984744
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.698299396
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.447769788
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85429086
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.28978986
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.074243668
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.021683592
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01296026
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.326931124
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.813781652
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.9083205
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.358047518
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14196231
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.563252026000006
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62064773
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.83671491
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.23748924
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.063421819999999
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.207822399999996
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.51669642
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.299941614
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,41.151374632
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12444466
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,39.004406622
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.603761774
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.260198725999996
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.9083205
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.7198108
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.131120640000005
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.6929632
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,38.40766899
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,55.55144328
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,45.705768470000004
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,39.936780696
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,39.300580695999996
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,56.33777435
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28,67.699648318
500.0,0.0,0.0,140.0,4.0,966.0,853.0,3,39.300580695999996
500.0,0.0,0.0,140.0,4.0,966.0,853.0,180,71.988189852
500.0,0.0,0.0,140.0,4.0,966.0,853.0,7,59.89108464
500.0,0.0,0.0,140.0,4.0,966.0,853.0,56,61.88736599999999
500.0,0.0,0.0,140.0,4.0,966.0,853.0,90,66.424758726
