seed,corruption_magnitude,score,roc_auc,average_precision,precision_at_k,rare_clean_fraction_in_top_k,rare_clean_share_of_false_alarms,k,gamma,location_shrink,scale_mix
0,0.75,global,0.8000692123759698,0.1462458621559437,0.1550888529886914,0.0953150242326332,0.1128107074569789,,,,
0,0.75,local_euclidean,0.8551955178463803,0.2274235095709387,0.3231017770597738,0.0210016155088853,0.0310262529832935,32.0,0.25,0.5,0.75
0,0.75,local_ridge_geometry,0.8623936761045814,0.2484820195654247,0.3570274636510501,0.0129240710823909,0.0201005025125628,32.0,0.25,0.5,0.75
1,0.75,global,0.8149440620264331,0.1582403323600931,0.1809369951534733,0.0920840064620355,0.1124260355029585,,,,
1,0.75,local_euclidean,0.8486592414769513,0.2237621290891668,0.3214862681744749,0.0646203554119547,0.0952380952380952,128.0,0.0,0.5,1.0
1,0.75,local_ridge_geometry,0.8676291962374842,0.2693104912404685,0.3489499192245557,0.0452342487883683,0.0694789081885856,64.0,0.0,0.75,1.0
10,0.75,global,0.7984303401629361,0.1477723583993969,0.1906300484652665,0.1033925686591276,0.1277445109780439,,,,
10,0.75,local_euclidean,0.8515677978865794,0.2355323527584433,0.3311793214862681,0.0226171243941841,0.0338164251207729,32.0,0.25,0.5,0.75
10,0.75,local_ridge_geometry,0.8522324074735134,0.2392432021432499,0.3408723747980614,0.0678513731825525,0.1029411764705882,64.0,0.0,0.5,0.75
11,0.75,global,0.8133222675758046,0.1520085989813482,0.1631663974151858,0.0904684975767366,0.1081081081081081,,,,
11,0.75,local_euclidean,0.8607442488856167,0.2397520780749585,0.3441033925686591,0.0145395799676898,0.022167487684729,32.0,0.25,0.5,0.75
11,0.75,local_ridge_geometry,0.8675618339524418,0.2834035703653901,0.3796445880452342,0.0080775444264943,0.0130208333333333,64.0,0.25,0.75,1.0
12,0.75,global,0.8323250733098531,0.1739176822540401,0.2164781906300484,0.0888529886914378,0.1134020618556701,,,,
12,0.75,local_euclidean,0.8764007619528327,0.2557334929042134,0.3295638126009693,0.0516962843295638,0.0771084337349397,64.0,0.0,0.5,0.75
12,0.75,local_ridge_geometry,0.8820233780335858,0.2805328463400022,0.3651050080775444,0.0533117932148626,0.0839694656488549,64.0,0.0,0.5,0.75
13,0.75,global,0.8168245134201563,0.1582742044794672,0.1938610662358643,0.0936995153473344,0.1162324649298597,,,,
13,0.75,local_euclidean,0.8565543859133128,0.229157693722259,0.3247172859450727,0.0630048465266559,0.0933014354066985,64.0,0.0,0.5,0.75
13,0.75,local_ridge_geometry,0.8616488959108008,0.2524858131410438,0.3441033925686591,0.0710823909531502,0.1083743842364532,32.0,0.0,0.5,0.75
14,0.75,global,0.8087762621000099,0.1656497668508062,0.1938610662358643,0.0936995153473344,0.1162324649298597,,,,
14,0.75,local_euclidean,0.8701903862159688,0.2662070091597395,0.3651050080775444,0.0161550888529886,0.0254452926208651,32.0,0.25,0.5,0.75
14,0.75,local_ridge_geometry,0.8786030817296642,0.3112638626410784,0.3957996768982229,0.061389337641357,0.1016042780748663,64.0,0.0,0.75,1.0
15,0.75,global,0.7870796765376924,0.1319384896138548,0.1324717285945072,0.0969305331179321,0.1117318435754189,,,,
15,0.75,local_euclidean,0.8386794240714381,0.2000743285801095,0.2762520193861066,0.0565428109854604,0.078125,64.0,0.0,0.5,0.75
15,0.75,local_ridge_geometry,0.8342342248320627,0.2383299387981115,0.3360258481421648,0.0533117932148626,0.0802919708029197,128.0,0.0,0.5,1.0
16,0.75,global,0.804459620460962,0.1543034601099406,0.1857835218093699,0.0904684975767366,0.1111111111111111,,,,
16,0.75,local_euclidean,0.8511780928361394,0.2324669603991773,0.3134087237479806,0.0533117932148626,0.0776470588235294,64.0,0.0,0.5,0.75
16,0.75,local_ridge_geometry,0.8645391886023013,0.2946768625074432,0.3634894991922455,0.0096930533117932,0.015228426395939,64.0,0.25,0.75,1.0
17,0.75,global,0.7962791350777476,0.1387322238069335,0.1615508885298869,0.0969305331179321,0.1156069364161849,,,,
17,0.75,local_euclidean,0.8480686355271063,0.2053357481077867,0.2697899838449111,0.0565428109854604,0.077433628318584,32.0,0.0,0.5,0.75
17,0.75,local_ridge_geometry,0.8541068104930516,0.2206765227138113,0.2988691437802908,0.0694668820678513,0.0990783410138248,32.0,0.0,0.5,0.75
18,0.75,global,0.8122136361663364,0.1453342632126879,0.1437802907915993,0.1098546042003231,0.1283018867924528,,,,
18,0.75,local_euclidean,0.8577596727141711,0.2144173464447915,0.284329563812601,0.0694668820678513,0.0970654627539503,64.0,0.0,0.5,0.75
18,0.75,local_ridge_geometry,0.8617792324447126,0.2292150388145033,0.3101777059773828,0.0630048465266559,0.0913348946135831,64.0,0.0,0.5,0.75
19,0.75,global,0.8136041692510618,0.1453856952978056,0.1518578352180937,0.1098546042003231,0.1295238095238095,,,,
19,0.75,local_euclidean,0.8725441525385738,0.2817455069558746,0.3651050080775444,0.0210016155088853,0.0330788804071246,64.0,0.25,0.75,1.0
19,0.75,local_ridge_geometry,0.8785541017583217,0.2998924947434352,0.3683360258481422,0.0129240710823909,0.0204603580562659,64.0,0.25,0.75,1.0
2,0.75,global,0.821805764646138,0.1621157798456272,0.1825525040387722,0.0953150242326332,0.116600790513834,,,,
2,0.75,local_euclidean,0.8643241748297976,0.2400908720978931,0.3344103392568659,0.0581583198707592,0.087378640776699,64.0,0.0,0.5,0.75
2,0.75,local_ridge_geometry,0.8679203483673777,0.2968036003716369,0.3828756058158319,0.0323101777059773,0.0523560209424083,64.0,0.0,0.75,1.0
3,0.75,global,0.807188385983047,0.1503463960669747,0.1615508885298869,0.1082390953150242,0.1290944123314065,,,,
3,0.75,local_euclidean,0.8402261475248274,0.2151896013479984,0.3004846526655896,0.0581583198707592,0.0831408775981524,32.0,0.0,0.5,0.75
3,0.75,local_ridge_geometry,0.8573630891205402,0.2483901117747504,0.3376413570274637,0.0096930533117932,0.0146341463414634,32.0,0.25,0.5,0.75
4,0.75,global,0.8044503700063259,0.1503648092444312,0.1712439418416801,0.0953150242326332,0.1150097465886939,,,,
4,0.75,local_euclidean,0.8596341943292816,0.2225194382925823,0.3004846526655896,0.0161550888529886,0.023094688221709,32.0,0.25,0.5,0.75
4,0.75,local_ridge_geometry,0.8630715683956084,0.243301170398114,0.3182552504038772,0.0129240710823909,0.0189573459715639,32.0,0.25,0.5,0.75
5,0.75,global,0.815501935598335,0.156998617385635,0.1696284329563812,0.08562197092084,0.103112840466926,,,,
5,0.75,local_euclidean,0.8468067786382808,0.2196184045370549,0.3117932148626817,0.0549273021001615,0.0798122065727699,64.0,0.0,0.25,0.75
5,0.75,local_ridge_geometry,0.8726270508435823,0.2548535204639386,0.3279483037156704,0.0597738287560581,0.0889423076923077,64.0,0.0,0.5,0.75
6,0.75,global,0.8269276702208178,0.1662522763779766,0.1890145395799677,0.1066235864297253,0.1314741035856573,,,,
6,0.75,local_euclidean,0.8713683960352077,0.2576121822441962,0.3586429725363489,0.0193861066235864,0.0302267002518891,32.0,0.25,0.5,0.75
6,0.75,local_ridge_geometry,0.8725962159947951,0.2886848935245845,0.3796445880452342,0.0565428109854604,0.0911458333333333,64.0,0.0,0.75,1.0
7,0.75,global,0.8208747894039126,0.1542542572594011,0.1663974151857835,0.0904684975767366,0.1085271317829457,,,,
7,0.75,local_euclidean,0.8746265721918525,0.2371089788640774,0.3198707592891761,0.0549273021001615,0.0807600950118764,128.0,0.0,0.75,1.0
7,0.75,local_ridge_geometry,0.8787998317840402,0.2769654127316303,0.3683360258481422,0.0500807754442649,0.0792838874680307,64.0,0.0,0.75,1.0
8,0.75,global,0.8126772262582931,0.1491344332147858,0.1696284329563812,0.1017770597738287,0.122568093385214,,,,
8,0.75,local_euclidean,0.8535305546074499,0.21695144373542,0.2778675282714055,0.0807754442649434,0.1118568232662192,64.0,0.0,0.5,0.75
8,0.75,local_ridge_geometry,0.8616928948681086,0.2587248470875293,0.3489499192245557,0.0710823909531502,0.1091811414392059,32.0,0.0,0.5,0.75
9,0.75,global,0.7999335390413065,0.1479844848008095,0.1760904684975767,0.1195476575121163,0.1450980392156863,,,,
9,0.75,local_euclidean,0.8519506243938283,0.2338807855889242,0.3344103392568659,0.0662358642972536,0.0995145631067961,32.0,0.0,0.5,0.75
9,0.75,local_ridge_geometry,0.8503067711667598,0.2490468636421442,0.3344103392568659,0.0662358642972536,0.0995145631067961,128.0,0.0,0.75,1.0
0,1.5,global,0.9434366719805388,0.4404050189128957,0.4798061389337641,0.0694668820678513,0.1335403726708074,,,,
0,1.5,local_euclidean,0.9526650678402252,0.5805395634453733,0.6219709208400647,0.0080775444264943,0.0213675213675213,32.0,0.25,0.5,0.75
0,1.5,local_ridge_geometry,0.9529793461067092,0.6096663480323015,0.630048465266559,0.0016155088852988,0.0043668122270742,64.0,0.25,0.75,1.0
1,1.5,global,0.9609677066628652,0.4647285942525299,0.5105008077544426,0.0597738287560581,0.1221122112211221,,,,
1,1.5,local_euclidean,0.9724768139726456,0.5778446946778673,0.6187399030694669,0.0355411954765751,0.0932203389830508,64.0,0.0,0.5,0.75
1,1.5,local_ridge_geometry,0.9755772580181874,0.6175004611807042,0.6591276252019386,0.0355411954765751,0.1042654028436018,64.0,0.0,0.5,0.75
10,1.5,global,0.9525557227226034,0.4581341571021817,0.4943457189014539,0.0630048465266559,0.1246006389776357,,,,
10,1.5,local_euclidean,0.963448607438931,0.6104522303933051,0.6219709208400647,0.0032310177705977,0.0085470085470085,32.0,0.25,0.5,0.75
10,1.5,local_ridge_geometry,0.9546380237803096,0.6403430223577532,0.6155088852988692,0.0403877221324717,0.1050420168067226,64.0,0.0,0.5,1.0
11,1.5,global,0.945139585802592,0.4372554099093744,0.4781906300484653,0.0581583198707592,0.1114551083591331,,,,
11,1.5,local_euclidean,0.9610234465818266,0.6305633829734666,0.6429725363489499,0.0080775444264943,0.0226244343891402,32.0,0.25,0.5,0.75
11,1.5,local_ridge_geometry,0.9589380620392414,0.6667508800893829,0.6381260096930533,0.0064620355411954,0.0178571428571428,128.0,0.25,0.75,1.0
12,1.5,global,0.9550909402707632,0.4319838796654857,0.4781906300484653,0.061389337641357,0.1176470588235294,,,,
12,1.5,local_euclidean,0.9661113152272682,0.5632951298011832,0.6058158319870759,0.0306946688206785,0.0778688524590164,32.0,0.0,0.5,0.75
12,1.5,local_ridge_geometry,0.9697825597620876,0.6154748319924709,0.6397415185783522,0.0355411954765751,0.0986547085201793,64.0,0.0,0.5,0.75
13,1.5,global,0.954855528059831,0.4586320484259341,0.4927302100161551,0.0565428109854604,0.1114649681528662,,,,
13,1.5,local_euclidean,0.9650139503971648,0.5964698753175811,0.6316639741518578,0.0420032310177706,0.1140350877192982,64.0,0.0,0.5,0.75
13,1.5,local_ridge_geometry,0.9627772379043784,0.6360755770049064,0.6494345718901454,0.0403877221324717,0.1152073732718894,32.0,0.0,0.5,0.75
14,1.5,global,0.9423108442130934,0.4585736734836532,0.4975767366720517,0.0468497576736672,0.0932475884244373,,,,
14,1.5,local_euclidean,0.9534364134421912,0.6477789209494804,0.6655896607431341,0.0032310177705977,0.0096618357487922,32.0,0.25,0.5,0.75
14,1.5,local_ridge_geometry,0.9511028083668702,0.6704760705724816,0.6445880452342488,0.0016155088852988,0.0045454545454545,64.0,0.25,0.75,1.0
15,1.5,global,0.9520894049324848,0.4391134812413081,0.4668820678513732,0.0500807754442649,0.0939393939393939,,,,
15,1.5,local_euclidean,0.961810565394903,0.5620845785028484,0.592891760904685,0.0306946688206785,0.0753968253968253,64.0,0.0,0.5,0.75
15,1.5,local_ridge_geometry,0.9656066910673105,0.6319752365152363,0.6429725363489499,0.0032310177705977,0.0090497737556561,64.0,0.25,0.5,0.75
16,1.5,global,0.9479495892916738,0.4371341828032165,0.4701130856219709,0.0565428109854604,0.1067073170731707,,,,
16,1.5,local_euclidean,0.9617137914079406,0.6548131529908336,0.6494345718901454,0.0048465266558966,0.0138248847926267,32.0,0.25,0.5,0.75
16,1.5,local_ridge_geometry,0.9571263960774276,0.6334619675394738,0.6284329563812601,0.0274636510500807,0.0739130434782608,64.0,0.0,0.75,1.0
17,1.5,global,0.9543015681418135,0.4445185604404011,0.4911147011308562,0.0533117932148626,0.1047619047619047,,,,
17,1.5,local_euclidean,0.96396485396497,0.5749202535019164,0.5993537964458805,0.0420032310177706,0.1048387096774193,32.0,0.0,0.5,0.75
17,1.5,local_ridge_geometry,0.9653544382851176,0.5863129695783282,0.6284329563812601,0.0387722132471728,0.1043478260869565,64.0,0.0,0.5,0.75
18,1.5,global,0.9472278166389112,0.4291610411230943,0.468497576736672,0.0678513731825525,0.1276595744680851,,,,
18,1.5,local_euclidean,0.954257569184506,0.5717852211765359,0.5896607431340872,0.0420032310177706,0.1023622047244094,128.0,0.0,0.5,1.0
18,1.5,local_ridge_geometry,0.9533395208596568,0.6151756554641464,0.6042003231017771,0.0339256865912762,0.0857142857142857,128.0,0.0,0.5,1.0
19,1.5,global,0.953284492514129,0.4323362182719995,0.4507269789983845,0.0500807754442649,0.0911764705882352,,,,
19,1.5,local_euclidean,0.9633172035448692,0.6265509854882012,0.6252019386106623,0.0080775444264943,0.021551724137931,64.0,0.25,0.75,1.0
19,1.5,local_ridge_geometry,0.9645364846232538,0.6568570414477126,0.6429725363489499,0.0016155088852988,0.004524886877828,64.0,0.25,0.75,1.0
2,1.5,global,0.9533796061630798,0.4389381370766879,0.4652665589660743,0.0597738287560581,0.1117824773413897,,,,
2,1.5,local_euclidean,0.961183669199947,0.56380868476343,0.6025848142164781,0.0306946688206785,0.0772357723577235,64.0,0.0,0.5,0.75
2,1.5,local_ridge_geometry,0.9556159628691496,0.6338055566996529,0.617124394184168,0.0210016155088853,0.0548523206751054,64.0,0.0,0.75,1.0
3,1.5,global,0.946181092118162,0.4420658474957109,0.4749596122778675,0.061389337641357,0.1169230769230769,,,,
3,1.5,local_euclidean,0.9514890741457146,0.558230954393096,0.6106623586429726,0.0355411954765751,0.0912863070539419,128.0,0.0,0.25,0.75
3,1.5,local_ridge_geometry,0.9570670982912988,0.6260380744792969,0.6252019386106623,0.0032310177705977,0.0086206896551724,64.0,0.25,0.5,0.75
4,1.5,global,0.9449194724204812,0.4262104940539395,0.4749596122778675,0.0452342487883683,0.0861538461538461,,,,
