seed,corruption_magnitude,method,test_mse_standardized,test_rmse_dollars
0,0.75,ridge_contamine,0.3984539172675284,72803.54953190366
0,0.75,ridge_huber_global,0.3967834597539851,72650.78033791369
0,0.75,ridge_huber_local_geometrique,0.3987743297242486,72832.81574747458
0,0.75,ridge_oracle_exclusion,0.3984836131574298,72806.2624251863
0,0.75,ridge_donnees_propres,0.3986423316502665,72820.76057443515
1,0.75,ridge_contamine,0.4016345560323258,73234.12051003444
1,0.75,ridge_huber_global,0.402248936482414,73290.11222901035
1,0.75,ridge_huber_local_geometrique,0.4018437820751547,73253.19318445196
1,0.75,ridge_oracle_exclusion,0.4011887528493607,73193.46530723876
1,0.75,ridge_donnees_propres,0.4009488921356777,73171.58176539693
10,0.75,ridge_contamine,0.4026366090982938,73020.31812147931
10,0.75,ridge_huber_global,0.4055611500023279,73285.0289350233
10,0.75,ridge_huber_local_geometrique,0.4036628382176183,73113.31499183972
10,0.75,ridge_oracle_exclusion,0.4022938868196634,72989.23423969776
10,0.75,ridge_donnees_propres,0.4009243913394598,72864.89275103685
11,0.75,ridge_contamine,0.4108121235310588,74019.24348134563
11,0.75,ridge_huber_global,0.5248270980150731,83662.55846522072
11,0.75,ridge_huber_local_geometrique,0.4116365355240239,74093.47664600078
11,0.75,ridge_oracle_exclusion,0.4105827012894215,73998.57219227108
11,0.75,ridge_donnees_propres,0.4104307763437528,73984.88034750122
12,0.75,ridge_contamine,0.4034734476569802,73077.06674050973
12,0.75,ridge_huber_global,0.4028806065029266,73023.35934208825
12,0.75,ridge_huber_local_geometrique,0.402784221838759,73014.62380994322
12,0.75,ridge_oracle_exclusion,0.4037340798437366,73100.66576664207
12,0.75,ridge_donnees_propres,0.4034660558933464,73076.39733973308
13,0.75,ridge_contamine,0.3850048879759306,71519.60705578674
13,0.75,ridge_huber_global,0.3854717157016021,71562.95354558295
13,0.75,ridge_huber_local_geometrique,0.3852278071921732,71540.30911456475
13,0.75,ridge_oracle_exclusion,0.3852136936470662,71538.99859568615
13,0.75,ridge_donnees_propres,0.3849772845905439,71517.04316799654
14,0.75,ridge_contamine,0.3925904286424859,72637.39014451549
14,0.75,ridge_huber_global,0.4766540612547773,80037.22577337312
14,0.75,ridge_huber_local_geometrique,0.4593552557686788,78571.4418488141
14,0.75,ridge_oracle_exclusion,0.3915657554133673,72542.53528682052
14,0.75,ridge_donnees_propres,0.3899805091622274,72395.54284904136
15,0.75,ridge_contamine,0.3827338115028637,71224.98749137997
15,0.75,ridge_huber_global,0.3805475094131743,71021.26580306322
15,0.75,ridge_huber_local_geometrique,0.3806885318121852,71034.4240307748
15,0.75,ridge_oracle_exclusion,0.3829503880706014,71245.13658882302
15,0.75,ridge_donnees_propres,0.3841077199838439,71352.7119687618
16,0.75,ridge_contamine,0.3898773260897069,72266.63001246947
16,0.75,ridge_huber_global,0.4981286644729193,81685.4263689483
16,0.75,ridge_huber_local_geometrique,0.3895251279880743,72233.98138315733
16,0.75,ridge_oracle_exclusion,0.3886251242367559,72150.48426688492
16,0.75,ridge_donnees_propres,0.3859906913486616,71905.51962496928
17,0.75,ridge_contamine,0.3996287076133326,72762.85642915576
17,0.75,ridge_huber_global,0.3978847435620724,72603.91570687127
17,0.75,ridge_huber_local_geometrique,0.3980344854482208,72617.57647768118
17,0.75,ridge_oracle_exclusion,0.4002856280281801,72822.63664209118
17,0.75,ridge_donnees_propres,0.4008239569630378,72871.58838808129
18,0.75,ridge_contamine,0.4085398025922032,74046.51096549908
18,0.75,ridge_huber_global,0.4124720521785503,74402.01130608143
18,0.75,ridge_huber_local_geometrique,0.4090065204512293,74088.79444000646
18,0.75,ridge_oracle_exclusion,0.4074694584695215,73949.4491539558
18,0.75,ridge_donnees_propres,0.40728653712701,73932.84858340284
19,0.75,ridge_contamine,0.3929844778770398,72220.24817554608
19,0.75,ridge_huber_global,0.521447490513122,83191.04293069876
19,0.75,ridge_huber_local_geometrique,0.3937072619782543,72286.63205394227
19,0.75,ridge_oracle_exclusion,0.3928813137743682,72210.76812410663
19,0.75,ridge_donnees_propres,0.3920107869387179,72130.72324897937
2,0.75,ridge_contamine,0.4094942610894601,73584.63617419783
2,0.75,ridge_huber_global,0.4092607012299868,73563.64825051322
2,0.75,ridge_huber_local_geometrique,0.409066353978863,73546.17944580533
2,0.75,ridge_oracle_exclusion,0.4093039536420735,73567.53540747323
2,0.75,ridge_donnees_propres,0.4096140356717757,73595.39691679599
3,0.75,ridge_contamine,0.4094022330685559,74052.42050968896
3,0.75,ridge_huber_global,0.4144068119429623,74503.6582554892
3,0.75,ridge_huber_local_geometrique,0.4100566565207082,74111.58272952464
3,0.75,ridge_oracle_exclusion,0.4082543071902392,73948.5295750679
3,0.75,ridge_donnees_propres,0.4066818109029816,73805.97629817524
4,0.75,ridge_contamine,0.4004692286346271,73041.69333251403
4,0.75,ridge_huber_global,0.4020868355029511,73189.06254812657
4,0.75,ridge_huber_local_geometrique,0.4013007525558804,73117.48494892748
4,0.75,ridge_oracle_exclusion,0.4008315062431552,73074.72382067778
