scenario,level,method,n,rmse_mean,rmse_std,delta_rmse_mean,delta_rmse_std,corrupt_geom_weight,corrupt_resid_weight,corrupt_combined_weight
gaussian,0.4,bgr,10,0.6341273223821304,0.06667170230857997,-0.00018952250876217436,0.010946705650542557,0.9983730579511751,0.9995259150763875,0.9981128997522986
gaussian,0.4,geometry,10,0.6322930785302477,0.06307106528848283,0.00030227328577954183,0.009647738578789346,0.9983730579511751,1.0,0.9983730579511751
gaussian,0.4,huber,10,0.6321886682749989,0.056798185394565215,-0.0012116921038062833,0.014596447783969645,1.0,0.9742739360623265,0.9742739360623265
gaussian,0.4,ridge,10,0.623651328644409,0.04961210182031227,0.0018215548825911477,0.007241958285169653,1.0,1.0,1.0
gaussian,0.4,schweppe_type,10,0.6600772637443173,0.08004149401606486,-0.0026004445458004065,0.01972516581651188,0.9757201313170348,0.9948571709510393,0.9869938214853244
leverage,50.0,bgr,10,0.659728607484664,0.06834837458056184,0.025411762593771526,0.030362934557623872,0.04393691707944587,0.36322543755885633,0.019663744745942055
leverage,50.0,geometry,10,0.7512968738154566,0.08621930672295576,0.1193060685709885,0.07072558954890437,0.04393691707944587,1.0,0.04393691707944587
leverage,50.0,huber,10,0.9474075980266307,0.08805677402570651,0.31400723764782545,0.08234003802774657,1.0,0.9003392155952932,0.9003392155952932
leverage,50.0,ridge,10,0.9683425477136686,0.06813326454266852,0.34651277395185076,0.05326860346820198,1.0,1.0,1.0
leverage,50.0,schweppe_type,10,0.6991633218389506,0.09297575773351457,0.036485613548832896,0.04101283888868371,0.007186127253426827,0.35830941136764055,0.11517943676798277
mixed,50.0,bgr,10,0.6584802222582739,0.06993184635593204,0.0241633773673813,0.029089465900026906,0.04393691707944587,0.3327606092768157,0.017650802109451975
mixed,50.0,geometry,10,0.7475554037988283,0.08236129745699203,0.11556459855436016,0.06354490707275831,0.04393691707944587,1.0,0.04393691707944587
mixed,50.0,huber,10,0.9032676222594136,0.0758481227273661,0.2698672618806083,0.06419169952694571,1.0,0.6788409292975505,0.6788409292975505
mixed,50.0,ridge,10,0.9693316207170263,0.07494536891901668,0.3475018469552085,0.056108295953792575,1.0,1.0,1.0
mixed,50.0,schweppe_type,10,0.6974562344889093,0.09161768742230346,0.0347785261987915,0.04306991501413701,0.007186127253426827,0.3304940067649533,0.10838760938113438
nominal,0.0,bgr,10,0.6343168448908926,0.06985456834830146,0.0,0.0,,,
nominal,0.0,geometry,10,0.6319908052444683,0.06457979152818605,0.0,0.0,,,
nominal,0.0,huber,10,0.6334003603788052,0.060845189111428444,0.0,0.0,,,
nominal,0.0,ridge,10,0.6218297737618178,0.047073041321865655,0.0,0.0,,,
nominal,0.0,schweppe_type,10,0.6626777082901177,0.09230436376139381,0.0,0.0,,,
vertical,4.0,bgr,10,0.6384515103617026,0.07184051152809419,0.004134665470810028,0.007470163770127185,0.9988794296646896,0.5793278601513969,0.5786659543378755
vertical,4.0,geometry,10,0.643945197729473,0.07221910538731625,0.01195439248500485,0.012149331419632153,0.9988794296646896,1.0,0.9988794296646896
vertical,4.0,huber,10,0.6348565358535193,0.05984935099894725,0.0014561754747141498,0.009023793327540174,1.0,0.2882056674358134,0.2882056674358134
vertical,4.0,ridge,10,0.6326843107102186,0.054546544893696265,0.010854536948400783,0.011729432974830053,1.0,1.0,1.0
vertical,4.0,schweppe_type,10,0.6621328820372628,0.08812610014383843,-0.0005448262528548687,0.02021928043427383,0.973379880131039,0.4335090201425073,0.4261073824246317
