seed,alpha,kappa_x,scale,n_train_rows,n_train_ids,n_test_ids,n_test_plausible
1101,0.001,3.273533633738855,0.18495611805939283,4780,1831,611,611
1202,0.31622776601683794,3.676402589769803,0.17301866916416356,4072,1831,611,611
1303,0.001,4.526603196808532,0.16994263832051426,4319,1831,611,611
1404,1.0,3.1797529976362253,0.17516022971827042,3671,1831,611,610
1505,0.001,3.7263716419828947,0.18374176192431196,4626,1831,611,611
1606,0.1,3.6949558048601654,0.1802940957344088,3305,1831,611,611
1707,1.0,3.5791016766354815,0.18058074839062574,4278,1831,611,610
1808,1.0,3.623430046393742,0.17894924601163414,4776,1831,611,611
1909,1.0,3.072436911197883,0.1847134055829229,4427,1831,611,611
2010,1.0,3.9695393912336336,0.17689161006145004,4175,1831,611,611
