scenario,level,epsilon,method,n,rmse_all_mean,rmse_all_std,rmse_plausible_mean,rmse_plausible_std,delta_rmse_all_mean,delta_rmse_all_std,delta_rmse_mean,delta_rmse_std,prediction_drift_mean,prediction_drift_std,p95_drift_mean,median_relative_error_mean,mean_corrupt_geom_weight,mean_corrupt_resid_weight,mean_corrupt_combined_weight,delta_rmse_all_ci95,delta_rmse_ci95,prediction_drift_ci95
gaussian_noise,0.4,1.0,bgr,10,0.2867597311762889,0.025163961701371525,0.28664763122264075,0.025188015885944822,0.027318826603975464,0.011652727825108775,0.027272206287055602,0.01164726361257735,0.11641010923996194,0.01814251280342863,0.2214315359034142,0.15524439598867465,0.9803248369991227,0.9353688714236684,0.9165224247728772,0.0072224355327473325,0.007219048778732499,0.011244845935769824
gaussian_noise,0.4,1.0,geometry,10,0.282482667948637,0.024343867422030475,0.2821711150694566,0.02437354541406125,0.02437776107028169,0.011427685017181591,0.02410088178097989,0.011359375577865545,0.10819366246933929,0.017792245214993053,0.20793883181578993,0.15227690183070305,0.9803248369991227,1.0,0.9803248369991227,0.007082952555305753,0.007040613926175911,0.011027747835251612
gaussian_noise,0.4,1.0,huber,10,0.28672657963885834,0.02498778277969466,0.286653423402713,0.024932896641470866,0.02712406215902729,0.012013237463197213,0.027301064457610408,0.011956202190444102,0.1162897999900766,0.018371802136924114,0.21980789407244986,0.15353237257881736,1.0,0.9354619453480127,0.9354619453480127,0.007445881721408613,0.007410530893110334,0.011386960937027249
gaussian_noise,0.4,1.0,ridge,10,0.2826603360678112,0.023989546904988293,0.2823127037467058,0.02398782152021475,0.02428351689017952,0.011806737470900863,0.024156852548752432,0.011749820057141445,0.10859477028567847,0.01774384011988762,0.2079209477627105,0.15206686271976413,1.0,1.0,1.0,0.00731789170016573,0.007282613921628561,0.010997746046477127
leverage_amplitude,50.0,0.05,bgr,10,0.2594354602594284,0.014469626632297219,0.25931188023442875,0.014487315751428026,-5.444312885016789e-06,0.0004766078900318487,-6.354470115638167e-05,0.0005106957540666326,0.011133201503612,0.001909836403297129,0.02053856048462303,0.1317588431370461,0.005325220544175209,0.4341549150411249,0.002315827901982529,0.00029540463072830973,0.00031653250774864034,0.001183728866573676
leverage_amplitude,50.0,0.05,geometry,10,0.27842993396309546,0.023915090182672894,0.2727021502282804,0.01826001540365858,0.020325027084740092,0.019047465718102754,0.014631916939803771,0.009824623198445117,0.09754383585848948,0.026806368549026828,0.1888895613005927,0.1473654161134163,0.005325220544175209,1.0,0.005325220544175209,0.01180574156334316,0.00608936454616294,0.016614759360914246
leverage_amplitude,50.0,0.05,huber,10,0.37706379466841194,0.029711212062955517,0.3771118166001639,0.029741376150728704,0.11746127718858093,0.02364815553420137,0.11775945765506135,0.023948396178238462,0.2922767009599257,0.03312594191191245,0.5740491682384488,0.22857622259688454,1.0,0.8131898726709892,0.8131898726709892,0.014657278654198474,0.014843369733335833,0.02053167151169492
leverage_amplitude,50.0,0.05,ridge,10,0.4033287222986819,0.020072006764982858,0.40338589062884944,0.02006606368153492,0.14495190312105016,0.011327780331507147,0.14523003943089607,0.011188740314627375,0.32190559808410396,0.008262583375302217,0.6320611680955361,0.2520804515870806,1.0,1.0,1.0,0.007021030989597482,0.006934853094304808,0.00512120223330738
mixed_amplitude,50.0,0.05,bgr,10,0.25962080911441,0.014587981212609758,0.2594732144932794,0.014622938493600673,0.0001799045420965817,0.0004540129774011924,9.778955769428333e-05,0.00048490547234446367,0.010711436619021904,0.00215106307221631,0.019802362598494827,0.132310380415433,0.005325220544175209,0.11137363344959468,0.0005729055493366176,0.00028140015878901504,0.00030054752552770547,0.0013332427049810285
mixed_amplitude,50.0,0.05,geometry,10,0.2781068911676883,0.021924514262540048,0.2731321883628713,0.017877190878441425,0.020001984289332916,0.01662118275566808,0.015061955074394636,0.009578305128861842,0.0994811217510049,0.025881306630272737,0.1956980197020401,0.14763655427743505,0.005325220544175209,1.0,0.005325220544175209,0.010301915803109712,0.0059366950249300976,0.016041400043484328
