seed,family,aggressiveness_rank,q_geometry,kappa_y,alpha,kappa_x,scale,ridge_nominal_rmse,nominal_rmse,nominal_ratio,bgr_max_iter,bgr_tol,schweppe_max_iter,schweppe_tol
3101,bgr,0,0.9,2.0,0.001,3.0039422474676196,0.18650144116076112,0.7955442855198301,0.7756099241261228,0.9749424868526563,12,2e-05,12,2e-05
3101,bgr,1,0.95,2.0,0.001,3.048489520660347,0.1858905095288641,0.7955442855198301,0.7759827486286218,0.9754111276427229,12,2e-05,12,2e-05
3101,bgr,2,0.95,3.0,0.001,3.048489520660347,0.1858905095288641,0.7955442855198301,0.7813945025307214,0.9822137079649025,12,2e-05,12,2e-05
3101,bgr,3,0.975,3.0,0.001,3.0931922400093077,0.18505139340856472,0.7955442855198301,0.7815356829356369,0.9823911718817266,12,2e-05,12,2e-05
3101,bgr,4,0.99,4.0,0.001,3.1492370443817643,0.18573791315121163,0.7955442855198301,0.787409867523007,0.9897750280595531,12,2e-05,12,2e-05
3101,bgr,5,1.0,6.0,0.001,3.3782105671776193,0.18544521910795952,0.7955442855198301,0.7943539502327952,0.9985037472976666,12,2e-05,12,2e-05
3101,schweppe_type,0,0.9,2.0,0.001,3.0039422474676196,0.18650144116076112,0.7955442855198301,0.775997634078565,0.9754298386688897,12,2e-05,12,2e-05
3101,schweppe_type,1,0.95,2.0,0.001,3.048489520660347,0.1858905095288641,0.7955442855198301,0.7761492903091937,0.9756204707096058,12,2e-05,12,2e-05
3101,schweppe_type,2,0.95,3.0,0.001,3.048489520660347,0.1858905095288641,0.7955442855198301,0.7815701222606046,0.9824344621492763,12,2e-05,12,2e-05
3101,schweppe_type,3,0.975,3.0,0.001,3.0931922400093077,0.18505139340856472,0.7955442855198301,0.7816824523687808,0.9825756612128869,12,2e-05,12,2e-05
3101,schweppe_type,4,0.99,4.0,0.001,3.1492370443817643,0.18573791315121163,0.7955442855198301,0.7874654016538706,0.9898448345202044,12,2e-05,12,2e-05
3101,schweppe_type,5,1.0,6.0,0.001,3.3782105671776193,0.18544521910795952,0.7955442855198301,0.7943539502327952,0.9985037472976666,12,2e-05,12,2e-05
3202,bgr,0,0.9,2.0,0.001,3.6354099276071388,0.1761166697939423,0.6662364341086939,0.6563530968018881,0.9851654205612037,12,2e-05,12,2e-05
3202,bgr,1,0.95,2.0,0.001,3.6354099276071388,0.1761166697939423,0.6662364341086939,0.6563530968018881,0.9851654205612037,12,2e-05,12,2e-05
3202,bgr,2,0.95,3.0,0.001,3.6354099276071388,0.1761166697939423,0.6662364341086939,0.6582670080696946,0.9880381413699463,12,2e-05,12,2e-05
3202,bgr,3,0.975,3.0,0.001,3.6354099276071388,0.1761166697939423,0.6662364341086939,0.6582670080696946,0.9880381413699463,12,2e-05,12,2e-05
3202,bgr,4,0.99,4.0,0.001,3.6354099276071388,0.1761166697939423,0.6662364341086939,0.6606164543272031,0.9915645865435003,12,2e-05,12,2e-05
3202,bgr,5,1.0,6.0,0.001,4.499230999268107,0.17802487499627873,0.6662364341086939,0.6657069181826697,0.9992052131962242,12,2e-05,12,2e-05
3202,schweppe_type,0,0.9,2.0,0.001,3.6354099276071388,0.1761166697939423,0.6662364341086939,0.6562092520390477,0.9849495140819478,12,2e-05,12,2e-05
3202,schweppe_type,1,0.95,2.0,0.001,3.6354099276071388,0.1761166697939423,0.6662364341086939,0.6562092520390477,0.9849495140819478,12,2e-05,12,2e-05
3202,schweppe_type,2,0.95,3.0,0.001,3.6354099276071388,0.1761166697939423,0.6662364341086939,0.6581034820277673,0.987792693907821,12,2e-05,12,2e-05
3202,schweppe_type,3,0.975,3.0,0.001,3.6354099276071388,0.1761166697939423,0.6662364341086939,0.6581034820277673,0.987792693907821,12,2e-05,12,2e-05
3202,schweppe_type,4,0.99,4.0,0.001,3.6354099276071388,0.1761166697939423,0.6662364341086939,0.660596421370845,0.9915345177040725,12,2e-05,12,2e-05
3202,schweppe_type,5,1.0,6.0,0.001,4.499230999268107,0.17802487499627873,0.6662364341086939,0.6657069181826697,0.9992052131962242,12,2e-05,12,2e-05
3303,bgr,0,0.9,2.0,0.001,4.500426988335199,0.17457410142821533,0.5738447193252809,0.5751636471017924,1.0022984053561776,12,2e-05,12,2e-05
3303,bgr,1,0.95,2.0,0.001,4.898662943384795,0.17246127646849763,0.5738447193252809,0.5745485090743464,1.0012264463283604,12,2e-05,12,2e-05
3303,bgr,2,0.95,3.0,0.001,4.898662943384795,0.17246127646849763,0.5738447193252809,0.5699957571614653,0.9932926765130101,12,2e-05,12,2e-05
3303,bgr,3,0.975,3.0,0.001,4.898662943384795,0.17246127646849763,0.5738447193252809,0.5699957571614653,0.9932926765130101,12,2e-05,12,2e-05
3303,bgr,4,0.99,4.0,0.001,5.365864878005153,0.17245891879757497,0.5738447193252809,0.5697104118502404,0.9927954247276135,12,2e-05,12,2e-05
3303,bgr,5,1.0,6.0,0.001,7.016543734866898,0.17145050875218065,0.5738447193252809,0.5732026837399177,0.998881168435046,12,2e-05,12,2e-05
3303,schweppe_type,0,0.9,2.0,0.001,4.500426988335199,0.17457410142821533,0.5738447193252809,0.5744743885596675,1.0010972815697021,12,2e-05,12,2e-05
3303,schweppe_type,1,0.95,2.0,0.001,4.898662943384795,0.17246127646849763,0.5738447193252809,0.5742304195981874,1.0006721335230897,12,2e-05,12,2e-05
3303,schweppe_type,2,0.95,3.0,0.001,4.898662943384795,0.17246127646849763,0.5738447193252809,0.5696204027464348,0.9926385720098408,12,2e-05,12,2e-05
3303,schweppe_type,3,0.975,3.0,0.001,4.898662943384795,0.17246127646849763,0.5738447193252809,0.5696204027464348,0.9926385720098408,12,2e-05,12,2e-05
3303,schweppe_type,4,0.99,4.0,0.001,5.365864878005153,0.17245891879757497,0.5738447193252809,0.5695720363973663,0.9925542872766375,12,2e-05,12,2e-05
3303,schweppe_type,5,1.0,6.0,0.001,7.016543734866898,0.17145050875218065,0.5738447193252809,0.5732026837399177,0.998881168435046,12,2e-05,12,2e-05
