seed,scenario,level,method,rmse,delta_rmse,rmse_all,delta_rmse_all,mean_corrupt_weight,mean_corrupt_leverage_factor,irls_iterations,alpha,kappa_x,q_geometry,kappa_y,scale
1101,nominal_raw,0.0,ridge,0.2842032646975366,0.0,0.2842032646975366,0.0,,,,,,,,
1101,nominal_raw,0.0,huber,0.2852826616963582,0.0,0.2852826616963582,0.0,,,,,,,,
1101,nominal_raw,0.0,geometry,0.2853147375872759,0.0,0.2853147375872759,0.0,,,,,,,,
1101,nominal_raw,0.0,bgr,0.2865047416676045,0.0,0.2865047416676045,0.0,,,,,,,,
1101,vertical_amplitude,4.0,ridge,0.3408148697051523,0.0566116050076157,0.3408148697051523,0.0566116050076157,1.0,,,,,,,
1101,vertical_amplitude,4.0,huber,0.2871723268927815,0.0018896651964233,0.2871723268927815,0.0018896651964233,0.0942017820110571,,,,,,,
1101,vertical_amplitude,4.0,geometry,0.3442661120504458,0.0589513744631699,0.3442661120504458,0.0589513744631699,0.9951336156153168,,,,,,,
1101,vertical_amplitude,4.0,bgr,0.2884869960001338,0.0019822543325292,0.2884869960001338,0.0019822543325292,0.0936947245723019,,,,,,,
1101,leverage_amplitude,50.0,ridge,0.4388409033092888,0.1546376386117522,0.4388409033092888,0.1546376386117522,1.0,,,,,,,
1101,leverage_amplitude,50.0,huber,0.4361665096883246,0.1508838479919664,0.4361665096883246,0.1508838479919664,0.8465403244692247,,,,,,,
1101,leverage_amplitude,50.0,geometry,0.2952131697272097,0.0098984321399338,0.2952131697272097,0.0098984321399338,0.004273402494875,,,,,,,
1101,leverage_amplitude,50.0,bgr,0.2856338620205225,-0.000870879647082,0.2856338620205225,-0.000870879647082,0.0017332490228159,,,,,,,
1101,mixed_amplitude,50.0,ridge,0.4714107419250111,0.1872074772274745,0.4714107419250111,0.1872074772274745,1.0,,,,,,,
1101,mixed_amplitude,50.0,huber,0.3729241805914364,0.0876415188950782,0.3729241805914364,0.0876415188950782,0.3695436451688523,,,,,,,
1101,mixed_amplitude,50.0,geometry,0.2951226844498565,0.0098079468625806,0.2951226844498565,0.0098079468625806,0.004273402494875,,,,,,,
1101,mixed_amplitude,50.0,bgr,0.2861383110584743,-0.0003664306091301,0.2861383110584743,-0.0003664306091301,0.000568223847947,,,,,,,
1101,gaussian_noise,0.4,ridge,0.3231309497212106,0.038927685023674,0.3231309497212106,0.038927685023674,1.0,,,,,,,
1101,gaussian_noise,0.4,huber,0.3276141319657519,0.0423314702693937,0.3276141319657519,0.0423314702693937,0.9489735396942128,,,,,,,
1101,gaussian_noise,0.4,geometry,0.3254770330725083,0.0401622954852324,0.3254770330725083,0.0401622954852324,0.9933388561971692,,,,,,,
1101,gaussian_noise,0.4,bgr,0.3296616662159814,0.0431569245483768,0.3296616662159814,0.0431569245483768,0.9426269925869196,,,,,,,
1202,nominal_raw,0.0,ridge,0.2532113787284594,0.0,0.2532113787284594,0.0,,,,,,,,
1202,nominal_raw,0.0,huber,0.2530733308373049,0.0,0.2530733308373049,0.0,,,,,,,,
1202,nominal_raw,0.0,geometry,0.252727889036372,0.0,0.252727889036372,0.0,,,,,,,,
1202,nominal_raw,0.0,bgr,0.2529929912430316,0.0,0.2529929912430316,0.0,,,,,,,,
1202,vertical_amplitude,4.0,ridge,0.3181859642121591,0.0649745854836997,0.3181859642121591,0.0649745854836997,1.0,,,,,,,
1202,vertical_amplitude,4.0,huber,0.2534936652752763,0.0004203344379714,0.2534936652752763,0.0004203344379714,0.0875089805872736,,,,,,,
1202,vertical_amplitude,4.0,geometry,0.3182840780438575,0.0655561890074855,0.3182840780438575,0.0655561890074855,0.9874448816544024,,,,,,,
1202,vertical_amplitude,4.0,bgr,0.2534079544792947,0.0004149632362631,0.2534079544792947,0.0004149632362631,0.0864044259851422,,,,,,,
1202,leverage_amplitude,50.0,ridge,0.4077390793342509,0.1545277006057915,0.4077390793342509,0.1545277006057915,1.0,,,,,,,
1202,leverage_amplitude,50.0,huber,0.3785158696434494,0.1254425388061446,0.3785158696434494,0.1254425388061446,0.7794881007521468,,,,,,,
1202,leverage_amplitude,50.0,geometry,0.2666517249477027,0.0139238359113306,0.2666517249477027,0.0139238359113306,0.0053981824889233,,,,,,,
1202,leverage_amplitude,50.0,bgr,0.2533802758183544,0.0003872845753227,0.2533802758183544,0.0003872845753227,0.0027553367404267,,,,,,,
1202,mixed_amplitude,50.0,ridge,0.4450577776420675,0.191846398913608,0.4450577776420675,0.191846398913608,1.0,,,,,,,
1202,mixed_amplitude,50.0,huber,0.3262685822348827,0.0731952513975778,0.3262685822348827,0.0731952513975778,0.335917856539729,,,,,,,
1202,mixed_amplitude,50.0,geometry,0.2687497175431406,0.0160218285067686,0.2687497175431406,0.0160218285067686,0.0053981824889233,,,,,,,
1202,mixed_amplitude,50.0,bgr,0.2535062133645173,0.0005132221214857,0.2535062133645173,0.0005132221214857,0.0004304079810692,,,,,,,
1202,gaussian_noise,0.4,ridge,0.2676745813497806,0.0144632026213212,0.2676745813497806,0.0144632026213212,1.0,,,,,,,
1202,gaussian_noise,0.4,huber,0.2674250474256376,0.0143517165883327,0.2674250474256376,0.0143517165883327,0.929552545505498,,,,,,,
1202,gaussian_noise,0.4,geometry,0.2687146137226593,0.0159867246862873,0.2687146137226593,0.0159867246862873,0.969569525248048,,,,,,,
1202,gaussian_noise,0.4,bgr,0.2681423738786343,0.0151493826356027,0.2681423738786343,0.0151493826356027,0.8999860101037871,,,,,,,
1303,nominal_raw,0.0,ridge,0.2708474229136274,0.0,0.2708474229136274,0.0,,,,,,,,
1303,nominal_raw,0.0,huber,0.2711173618858266,0.0,0.2711173618858266,0.0,,,,,,,,
1303,nominal_raw,0.0,geometry,0.2707523072556628,0.0,0.2707523072556628,0.0,,,,,,,,
1303,nominal_raw,0.0,bgr,0.2706646687468612,0.0,0.2706646687468612,0.0,,,,,,,,
1303,vertical_amplitude,4.0,ridge,0.3170514238132528,0.0462040008996253,0.3170514238132528,0.0462040008996253,1.0,,,,,,,
1303,vertical_amplitude,4.0,huber,0.2714797428726087,0.000362380986782,0.2714797428726087,0.000362380986782,0.0864643627963849,,,,,,,
1303,vertical_amplitude,4.0,geometry,0.3203374799490677,0.0495851726934049,0.3203374799490677,0.0495851726934049,0.9935087477325708,,,,,,,
1303,vertical_amplitude,4.0,bgr,0.2711701844537193,0.0005055157068581,0.2711701844537193,0.0005055157068581,0.0858232173786517,,,,,,,
1303,leverage_amplitude,50.0,ridge,0.410335636487651,0.1394882135740235,0.410335636487651,0.1394882135740235,1.0,,,,,,,
1303,leverage_amplitude,50.0,huber,0.3815963684484404,0.1104790065626137,0.3815963684484404,0.1104790065626137,0.7877850643311781,,,,,,,
