method,seed,auc
final_predictive_attribution_scalar,9700,0.49705
final_predictive_attribution_scalar,9701,0.519825
final_predictive_attribution_scalar,9702,0.531475
final_predictive_attribution_scalar,9703,0.44889999999999997
final_predictive_attribution_scalar,9704,0.4957249999999999
final_predictive_attribution_scalar,9705,0.45769999999999994
final_predictive_attribution_scalar,9706,0.44665
final_predictive_attribution_scalar,9707,0.528375
final_register_2d,9700,0.493375
final_register_2d,9701,0.44665000000000005
final_register_2d,9702,0.5079
final_register_2d,9703,0.469125
final_register_2d,9704,0.5004000000000001
final_register_2d,9705,0.5041249999999999
final_register_2d,9706,0.534275
final_register_2d,9707,0.49845000000000006
dynamic_predictive_attribution,9700,0.6471250000000001
dynamic_predictive_attribution,9701,0.630725
dynamic_predictive_attribution,9702,0.6233
dynamic_predictive_attribution,9703,0.650475
dynamic_predictive_attribution,9704,0.6519750000000001
dynamic_predictive_attribution,9705,0.626775
dynamic_predictive_attribution,9706,0.672
dynamic_predictive_attribution,9707,0.6094249999999999
dynamic_residual,9700,0.71515
dynamic_residual,9701,0.701575
dynamic_residual,9702,0.7300000000000001
dynamic_residual,9703,0.725325
dynamic_residual,9704,0.7588749999999999
dynamic_residual,9705,0.6855500000000001
dynamic_residual,9706,0.745975
dynamic_residual,9707,0.7490000000000001
dynamic_register,9700,0.7220250000000001
dynamic_register,9701,0.701225
dynamic_register,9702,0.737775
dynamic_register,9703,0.730175
dynamic_register,9704,0.75195
dynamic_register,9705,0.6854499999999999
dynamic_register,9706,0.74175
dynamic_register,9707,0.74885
